Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,51.240002,54.180000,49.820000,51.790001,46.081917,156819300
2012-02-01,52.160000,56.160000,50.680000,55.750000,49.605465,132436700
2012-03-01,55.750000,59.430000,53.400002,58.939999,52.443871,139862700
2012-04-01,58.939999,59.709999,55.480000,56.150002,50.107430,134294800
2012-05-01,56.270000,57.419998,53.779999,55.770000,49.768326,115177500
2012-06-01,55.220001,60.750000,54.689999,58.500000,52.204536,165413900
2012-07-01,58.889999,59.310001,50.889999,51.090000,45.760086,165278500
2012-08-01,51.209999,55.029999,50.320000,54.299999,48.635197,120000500
2012-09-01,54.400002,56.750000,52.580002,55.410000,49.629398,133898300
2012-10-01,55.720001,58.290001,55.340000,56.000000,50.360531,107598600
2012-11-01,55.860001,57.240002,51.090000,54.389999,48.912659,137959500
2012-12-01,54.560001,55.820000,53.279999,54.240002,48.777779,94058200
2013-01-01,54.880001,56.689999,51.360001,55.209999,49.847530,161036700
2013-02-01,55.740002,58.259998,52.509998,53.450001,48.258480,120496500
2013-03-01,53.340000,57.310001,52.880001,57.209999,51.653271,109815200
2013-04-01,57.160000,63.950001,57.009998,59.930000,54.319603,157336600
2013-05-01,59.959999,64.900002,58.869999,62.630001,56.766838,119800600
2013-06-01,62.889999,66.190002,60.950001,65.480003,59.350048,103889300
2013-07-01,65.889999,73.660004,64.650002,72.849998,66.612755,116538400
2013-08-01,73.230003,73.669998,71.000000,71.739998,65.597801,70393400
2013-09-01,71.809998,75.879997,70.400002,71.610001,65.478943,88995300
2013-10-01,71.739998,75.489998,66.720001,68.260002,62.650799,154282100
2013-11-01,68.269997,74.989998,67.949997,74.480003,68.359673,77403500
2013-12-01,73.639999,75.540001,70.199997,75.300003,69.112297,87821400
2014-01-01,74.910004,77.330002,70.839996,72.279999,66.593361,111391100
2014-02-01,72.139999,77.709999,69.570000,77.269997,71.190765,100618500
2014-03-01,76.699997,83.320000,75.650002,81.989998,75.539406,104454400
2014-04-01,82.349998,83.050003,73.610001,75.040001,69.386002,112712300
2014-05-01,75.050003,79.739998,74.260002,79.629997,73.630157,73562500
2014-06-01,79.769997,82.540001,77.529999,81.750000,75.590424,75611400
2014-07-01,81.739998,87.239998,80.550003,81.050003,75.295372,87663600
2014-08-01,81.139999,87.230003,78.739998,86.680000,80.525620,69078600
2014-09-01,87.120003,88.849998,85.580002,86.250000,80.126144,67055400
2014-10-01,86.000000,95.669998,80.720001,95.010002,88.639519,108326400
2014-11-01,95.449997,99.419998,93.010002,98.629997,92.016808,68331900
2014-12-01,98.750000,104.000000,95.750000,101.089996,94.311859,82445400
2015-01-01,101.500000,114.320000,98.459999,106.250000,99.499641,100661200
2015-02-01,106.730003,116.580002,105.070000,113.629997,106.410759,76090400
2015-03-01,113.629997,123.760002,111.650002,118.290001,110.774704,83103000
2015-04-01,119.519997,122.320000,111.120003,111.400002,104.671478,86861100
2015-05-01,112.290001,121.849998,111.739998,120.209999,112.949348,72144800
2015-06-01,120.540001,124.110001,115.360001,122.000000,114.631233,106419800
2015-07-01,122.949997,126.050003,116.660004,121.400002,114.550598,95034600
2015-08-01,121.610001,126.209999,95.000000,115.699997,109.172195,84019200
2015-09-01,113.360001,125.120003,111.010002,116.010002,109.464722,94116400
2015-10-01,115.940002,125.989998,110.070000,117.779999,111.615578,105779500
2015-11-01,118.639999,119.949997,109.610001,112.709999,106.810928,82097600
2015-12-01,113.529999,121.089996,113.050003,117.639999,111.482910,76066500
2016-01-01,116.910004,117.889999,107.510002,115.160004,109.604088,88318600
2016-02-01,114.830002,122.260002,108.830002,119.099998,113.353989,72041400
2016-03-01,119.489998,131.100006,119.370003,128.899994,122.681190,70809500
